id,Synopstationsnummer,Stationsname,Länge [°E],Breite [°N],Höhe [m],Startdatum,Enddatum,Bundesland,Sonnenschein,Globalstrahlung
5882,11082,GUMPOLDSKIRCHEN,16.280834,48.035831,212.0,2018-03-30,2100-12-31,NOE,,
13401,11176,KAPFENBERG-FLUGFELD,15.335556,47.458332,515.0,2018-05-23,2100-12-31,STMK,ja,ja
2117,11297,HORN -  WASSERWERK,15.643888,48.674999,308.0,2019-04-16,2100-12-31,NOE,ja,ja
16906,11108,GASCHURN,10.031667,46.980278,985.0,2020-09-01,2100-12-31,VBG,ja,ja
20209,8989076,KLAGENFURT/HTL1-LASTENSTRASSE,14.316667,46.619446,441.0,2021-04-21,2100-12-31,KNT,,
1416,11008,ROHRBACH,14.004444,48.567223,613.0,2021-10-15,2021-07-02,OOE,ja,ja
7956,11395,ANDAU,17.035555,47.77,117.0,2021-06-16,2100-12-31,BGL,ja,ja
500,11021,LITSCHAU,15.038333,48.954723,558.0,1992-08-29,2100-12-31,NOE,ja,ja
726,11047,RAABS/THAYA,15.501945,48.848057,458.5,2008-06-25,2100-12-31,NOE,ja,ja
905,11022,RETZ/WINDMUEHLE,15.941667,48.761112,320.0,1993-11-11,2100-12-31,NOE,ja,ja
1415,11008,ROHRBACH,13.994166,48.569721,597.0,1994-06-29,2021-07-02,OOE,,ja
1601,11015,FREISTADT,14.506111,48.506111,549.0,1992-08-29,2014-08-04,OOE,ja,ja
1602,11068,FREISTADT,14.506389,48.49472,539.0,2014-03-31,2100-12-31,OOE,nein,ja
1802,11025,WEITRA,14.898611,48.702221,572.0,2003-08-21,2100-12-31,NOE,ja,ja
1920,11020,STIFT ZWETTL,15.203611,48.617779,502.4,1994-09-30,2100-12-31,NOE,ja,ja
2114,11388,HORN,15.653611,48.670555,318.4,2007-07-25,2020-10-06,NOE,ja,ja
2115,11023,GARS/KAMP,15.667778,48.595554,267.0,2002-03-25,2016-05-20,NOE,ja,ja
2207,11334,SCHOENGRABERN,16.061666,48.603333,253.0,2007-07-25,2100-12-31,NOE,ja,ja
2401,11335,LAA/TH.KLAERANLAGE,16.389723,48.731388,184.0,2006-12-18,2100-12-31,NOE,ja,ja
2430,11332,MISTELBACH,16.609444,48.570835,191.0,2004-06-14,2100-12-31,NOE,ja,nein
2503,11032,POYSDORF-OST,16.637501,48.669167,198.0,1992-08-29,2100-12-31,NOE,ja,ja
